match_key,tourney_id,match_num,tourney_date,winner_name,loser_name,td_date,td_tournament,rank_agreement,B365_winner,B365_loser,PS_winner,PS_loser,EnglishAvg_winner,EnglishAvg_loser,PolishAvg_winner,AllAvg_winner,PolishAvg_loser,AllAvg_loser,be_match_id,Fortuna_winner,Fortuna_loser
2017-M020_271,2017-M020,271,2017-01-02,Viktor Troicki,Yoshihito Nishioka,2017-01-03,Brisbane International,2,1.5,2.5,1.54,2.62,1.49,2.57,,1.52,,2.56,W8jH2KUa,,
2017-M020_272,2017-M020,272,2017-01-02,Kyle Edmund,Ernesto Escobedo,2017-01-02,Brisbane International,2,1.36,3.0,1.42,3.09,1.37,3.01,,1.39,,3.04,hIiD30Fg,,
2017-M020_273,2017-M020,273,2017-01-02,Lucas Pouille,Gilles Simon,2017-01-03,Brisbane International,2,1.8,1.9,1.93,1.95,1.83,1.94,,1.86,,1.92,rs507gOj,,
2017-M020_275,2017-M020,275,2017-01-02,Jared Donaldson,Gilles Muller,2017-01-03,Brisbane International,2,2.62,1.44,2.74,1.51,2.64,1.47,,2.68,,1.48,61ozd9Dp,,
2017-M020_276,2017-M020,276,2017-01-02,Jordan Thompson,Elias Ymer,2017-01-01,Brisbane International,2,1.28,3.5,1.31,3.73,1.29,3.5,,1.3,,3.62,Uw1d8Z8p,,
2017-M020_277,2017-M020,277,2017-01-02,David Ferrer,Bernard Tomic,2017-01-02,Brisbane International,2,1.9,1.8,2.1,1.81,2.01,1.77,,2.0,,1.81,ltmSP1vI,,
2017-M020_278,2017-M020,278,2017-01-02,Grigor Dimitrov,Steve Johnson,2017-01-02,Brisbane International,2,1.4,2.75,1.41,3.13,1.41,2.85,,1.4,,2.94,AklOQsPB,,
2017-M020_279,2017-M020,279,2017-01-02,Nicolas Mahut,Stephane Robert,2017-01-02,Brisbane International,2,1.5,2.5,1.58,2.52,1.54,2.43,,1.54,,2.51,tGqKRN95,,
2017-M020_280,2017-M020,280,2017-01-02,Sam Groth,Pierre Hugues Herbert,2017-01-03,Brisbane International,2,2.25,1.57,2.34,1.66,2.27,1.61,,2.3,,1.62,2PpGS3fa,,
2017-M020_282,2017-M020,282,2017-01-02,Rafael Nadal,Alexandr Dolgopolov,2017-01-03,Brisbane International,2,1.16,5.0,1.15,6.34,1.14,5.34,,1.15,,5.67,K0eBTqug,,
2017-M020_283,2017-M020,283,2017-01-02,Mischa Zverev,Alex De Minaur,2017-01-03,Brisbane International,2,1.44,2.62,1.49,2.8,1.45,2.7,,1.46,,2.71,l8q90k5T,,
2017-M020_284,2017-M020,284,2017-01-02,Diego Schwartzman,Sam Querrey,2017-01-03,Brisbane International,2,2.2,1.61,2.2,1.74,2.18,1.66,,2.2,,1.68,8Qi7UPPn,,
2017-M020_286,2017-M020,286,2017-01-02,Stan Wawrinka,Viktor Troicki,2017-01-04,Brisbane International,2,1.3,3.4,1.34,3.6,1.31,3.39,,1.32,,3.5,pvNoav2s,,
2017-M020_287,2017-M020,287,2017-01-02,Kyle Edmund,Lucas Pouille,2017-01-04,Brisbane International,2,2.62,1.44,2.6,1.56,2.51,1.51,,2.61,,1.5,Qk0i24Ej,,
2017-M020_288,2017-M020,288,2017-01-02,Kei Nishikori,Jared Donaldson,2017-01-04,Brisbane International,2,1.1,7.0,1.12,7.58,1.11,6.37,,1.11,,7.29,xIBeK8ae,,
2017-M020_289,2017-M020,289,2017-01-02,Jordan Thompson,David Ferrer,2017-01-04,Brisbane International,2,4.5,1.18,4.93,1.22,4.46,1.2,,4.72,,1.2,W4GTsaBN,,
2017-M020_290,2017-M020,290,2017-01-02,Grigor Dimitrov,Nicolas Mahut,2017-01-05,Brisbane International,2,1.18,4.5,1.21,5.0,1.2,4.39,,1.19,,4.75,rkRWEkZE,,
2017-M020_291,2017-M020,291,2017-01-02,Dominic Thiem,Sam Groth,2017-01-05,Brisbane International,2,1.16,4.5,1.22,4.97,1.2,4.4,,1.19,,4.73,tjInMUUr,,
2017-M020_292,2017-M020,292,2017-01-02,Rafael Nadal,Mischa Zverev,2017-01-05,Brisbane International,2,1.12,6.0,1.14,6.76,1.11,6.16,,1.13,,6.38,j3p4540m,,
2017-M020_293,2017-M020,293,2017-01-02,Milos Raonic,Diego Schwartzman,2017-01-05,Brisbane International,2,1.14,5.5,1.15,6.44,1.13,5.66,,1.14,,5.97,0xhV8Olk,,
2017-M020_294,2017-M020,294,2017-01-02,Stan Wawrinka,Kyle Edmund,2017-01-06,Brisbane International,2,1.28,3.5,1.33,3.77,1.3,3.48,,1.31,,3.64,UyzEvf8p,,
2017-M020_295,2017-M020,295,2017-01-02,Kei Nishikori,Jordan Thompson,2017-01-06,Brisbane International,2,1.16,5.0,1.15,6.73,1.15,5.52,,1.15,,5.86,vTtc8AAi,,
2017-M020_296,2017-M020,296,2017-01-02,Grigor Dimitrov,Dominic Thiem,2017-01-06,Brisbane International,2,1.66,2.1,1.68,2.36,1.68,2.16,,1.67,,2.23,MciBcu62,,
2017-M020_297,2017-M020,297,2017-01-02,Milos Raonic,Rafael Nadal,2017-01-06,Brisbane International,2,2.37,1.53,2.31,1.7,2.4,1.56,,2.34,,1.62,jscs13lR,,
2017-M020_298,2017-M020,298,2017-01-02,Kei Nishikori,Stan Wawrinka,2017-01-07,Brisbane International,2,1.61,2.25,1.61,2.52,1.61,2.3,,1.61,,2.38,MceS7QJ1,,
2017-M020_299,2017-M020,299,2017-01-02,Grigor Dimitrov,Milos Raonic,2017-01-07,Brisbane International,2,2.75,1.44,2.99,1.46,2.7,1.45,,2.87,,1.45,fBDC87Jm,,
2017-M020_300,2017-M020,300,2017-01-02,Grigor Dimitrov,Kei Nishikori,2017-01-08,Brisbane International,2,2.75,1.44,2.74,1.53,2.65,1.48,,2.74,,1.48,OxIFQlBq,,
2017-0891_271,2017-0891,271,2017-01-02,Rogerio Dutra Silva,Dusan Lajovic,2017-01-03,Chennai Open,1,3.0,1.36,3.1,1.41,2.97,1.38,,3.05,,1.38,,,
2017-0891_272,2017-0891,272,2017-01-02,Renzo Olivo,Casper Ruud,2017-01-03,Chennai Open,2,1.8,1.9,1.94,1.94,1.85,1.92,,1.87,,1.92,OjgokXPJ,,
2017-0891_273,2017-0891,273,2017-01-02,Mikhail Youzhny,Saketh Myneni,2017-01-03,Chennai Open,2,1.44,2.62,1.41,3.14,1.4,2.87,,1.42,,2.88,Am53QmmJ,,
2017-0891_275,2017-0891,275,2017-01-02,Aljaz Bedene,Guillermo Garcia Lopez,2017-01-03,Chennai Open,2,1.66,2.1,1.74,2.2,1.69,2.13,,1.7,,2.15,Wd6aRTXC,,
2017-0891_276,2017-0891,276,2017-01-02,Yuki Bhambri,Ramkumar Ramanathan,2017-01-03,Chennai Open,2,1.4,2.75,1.43,3.02,1.44,2.75,,1.42,,2.88,8Qi4Wkkc,,
2017-0891_277,2017-0891,277,2017-01-02,Benoit Paire,Konstantin Kravchuk,2017-01-03,Chennai Open,2,1.5,2.5,1.53,2.67,1.5,2.54,,1.52,,2.58,ELBfS9I6,,
