match_key,tourney_id,match_num,tourney_date,winner_name,loser_name,td_date,td_tournament,rank_agreement,B365_winner,B365_loser,PS_winner,PS_loser,EnglishAvg_winner,EnglishAvg_loser,be_match_id,Betclic_winner,Betclic_loser,BETFAN_winner,BETFAN_loser,Fortuna_winner,Fortuna_loser,LVBET_winner,LVBET_loser,STS_winner,STS_loser,Superbet_winner,Superbet_loser,Fuksiarz_winner,Fuksiarz_loser,PolishAvg_winner,AllAvg_winner,PolishAvg_loser,AllAvg_loser
2024-339_1,2024-339,1,2024-01-01,Grigor Dimitrov,Andy Murray,2024-01-01,Brisbane International,2,1.33,3.4,1.35,3.47,1.33,3.25,vPbip6qE,1.35,3.25,1.34,3.15,1.32,2.93,1.28,3.35,1.37,3.3,1.36,3.2,,,1.34,1.34,3.2,3.26
2024-339_2,2024-339,2,2024-01-01,Daniel Altmaier,Li Tu,2024-01-02,Brisbane International,2,1.57,2.38,1.64,2.39,1.59,2.32,IwEQg3y1,1.6,2.35,1.6,2.3,1.6,2.35,1.6,2.22,1.61,2.3,1.57,2.4,,,1.6,1.6,2.32,2.34
2024-339_3,2024-339,3,2024-01-01,Rinky Hijikata,Thanasi Kokkinakis,2024-01-02,Brisbane International,2,2.63,1.5,2.71,1.52,2.57,1.49,UgH0Nrx1,2.6,1.51,2.52,1.51,2.6,1.51,2.55,1.45,2.55,1.52,2.6,1.5,,,2.57,2.6,1.5,1.5
2024-339_4,2024-339,4,2024-01-01,Tomas Machac,Tomas Martin Etcheverry,2024-01-02,Brisbane International,2,1.36,3.2,1.4,3.17,1.37,3.02,nDIUhNj7,1.39,3.0,1.39,2.94,1.32,2.93,1.33,3.1,1.4,2.95,1.36,3.2,,,1.36,1.37,3.02,3.06
2024-339_5,2024-339,5,2024-01-01,Ugo Humbert,Alex Michelsen,2024-01-03,Brisbane International,2,1.4,3.0,1.44,2.97,1.4,2.87,vmFMfqMf,1.41,2.95,1.41,2.85,1.41,2.95,1.38,2.85,1.4,3.0,1.42,2.9,,,1.4,1.41,2.92,2.93
2024-339_6,2024-339,6,2024-01-01,Jordan Thompson,Aleksandar Vukic,2024-01-02,Brisbane International,2,1.57,2.38,1.56,2.58,1.54,2.46,j959LM6D,1.57,2.42,1.57,2.37,1.54,2.26,1.47,2.5,1.58,2.4,1.57,2.4,,,1.55,1.55,2.39,2.41
2024-339_7,2024-339,7,2024-01-01,Rafael Nadal,Dominic Thiem,2024-01-02,Brisbane International,2,1.62,2.3,1.6,2.48,1.58,2.33,Q3HYis6D,1.61,2.32,1.61,2.27,1.54,2.26,1.57,2.25,1.65,2.35,1.6,2.35,,,1.6,1.6,2.3,2.32
2024-339_8,2024-339,8,2024-01-01,Jason Kubler,Aslan Karatsev,2024-01-02,Brisbane International,2,2.75,1.44,2.6,1.55,2.58,1.49,MTDhP47l,2.65,1.49,2.58,1.49,2.5,1.44,2.5,1.47,2.55,1.52,2.7,1.47,,,2.58,2.6,1.48,1.48
2024-339_9,2024-339,9,2024-01-01,Lukas Klein,Sebastian Baez,2024-01-02,Brisbane International,2,2.0,1.8,2.02,1.88,2.04,1.76,dOPHeP6l,2.16,1.71,2.11,1.7,2.08,1.76,2.07,1.7,2.15,1.72,2.2,1.67,,,2.13,2.1,1.71,1.74
2024-339_10,2024-339,10,2024-01-01,Matteo Arnaldi,Marton Fucsovics,2024-01-02,Brisbane International,2,1.91,1.91,2.05,1.85,1.82,1.98,0vm0rpEQ,1.79,2.03,1.79,2.0,3.6,1.25,3.85,1.22,4.0,1.25,1.75,2.1,,,2.8,2.59,1.64,1.7
2024-339_11,2024-339,11,2024-01-01,Alexei Popyrin,Christopher O'Connell,2023-12-31,Brisbane International,2,1.62,2.3,1.72,2.23,1.68,2.17,rwFlQphr,1.67,2.22,1.67,2.17,1.67,2.22,1.67,2.1,1.69,2.2,1.65,2.25,,,1.67,1.67,2.19,2.21
2024-339_12,2024-339,12,2024-01-01,Roman Safiullin,Ben Shelton,2024-01-01,Brisbane International,2,2.3,1.62,2.31,1.68,2.24,1.63,IFceqQbK,2.24,1.66,2.19,1.66,2.24,1.66,2.2,1.6,2.2,1.67,2.25,1.65,,,2.22,2.24,1.65,1.65
2024-339_13,2024-339,13,2024-01-01,Yannick Hanfmann,Sebastian Korda,2024-01-02,Brisbane International,2,4.5,1.2,4.54,1.25,4.16,1.22,zXwSw4Ms,4.1,1.24,3.95,1.24,4.1,1.24,4.3,1.18,4.0,1.25,4.4,1.22,,,4.14,4.24,1.23,1.23
2024-339_14,2024-339,14,2024-01-01,James Duckworth,J.J. Wolf,2024-01-02,Brisbane International,2,2.38,1.57,2.21,1.74,2.24,1.63,plMDd5ir,2.26,1.65,2.21,1.65,2.26,1.65,2.2,1.6,2.25,1.66,2.4,1.57,,,2.26,2.27,1.63,1.64
2024-339_15,2024-339,15,2024-01-01,Alexander Shevchenko,Luca Van Assche,2023-12-31,Brisbane International,2,1.62,2.3,1.78,2.14,1.7,2.14,GjDdOOMf,1.63,2.29,1.63,2.24,1.62,2.12,1.7,2.05,1.65,2.25,1.67,2.2,,,1.65,1.66,2.19,2.2
2024-339_16,2024-339,16,2024-01-01,Holger Rune,Max Purcell,2024-01-01,Brisbane International,2,1.25,4.0,1.32,3.68,1.28,3.65,CI65M2i7,1.27,3.8,1.27,3.65,1.27,3.8,1.25,3.6,1.28,3.7,1.28,3.7,,,1.27,1.27,3.71,3.74
2024-339_17,2024-339,17,2024-01-01,Grigor Dimitrov,Daniel Altmaier,2024-01-04,Brisbane International,2,1.14,5.5,1.13,7.16,1.13,5.83,hjZ9jNlr,1.14,5.8,1.14,5.5,1.12,4.75,1.07,7.25,1.15,5.5,1.14,5.75,,,1.13,1.13,5.76,5.9
2024-339_18,2024-339,18,2024-01-01,Rinky Hijikata,Tomas Machac,2024-01-04,Brisbane International,2,2.3,1.62,2.66,1.54,2.48,1.53,nkOqsfp3,2.42,1.57,2.36,1.57,2.5,1.54,2.65,1.45,2.4,1.59,2.5,1.53,,,2.47,2.47,1.54,1.55
2024-339_19,2024-339,19,2024-01-01,Jordan Thompson,Ugo Humbert,2024-01-04,Brisbane International,2,2.5,1.53,2.59,1.56,2.54,1.5,Ot0xQhr1,2.6,1.5,2.56,1.5,2.6,1.5,2.5,1.47,2.6,1.51,2.6,1.5,,,2.58,2.57,1.5,1.51
2024-339_20,2024-339,20,2024-01-01,Rafael Nadal,Jason Kubler,2024-01-04,Brisbane International,2,1.14,5.5,1.17,5.93,1.15,5.22,8U59MXRu,1.16,5.4,1.16,5.1,1.15,5.6,1.1,6.0,1.18,5.5,1.16,5.25,,,1.15,1.15,5.48,5.54
2024-339_21,2024-339,21,2024-01-01,Matteo Arnaldi,Lukas Klein,2024-01-03,Brisbane International,2,1.53,2.5,1.61,2.49,1.54,2.43,69sUh27r,1.51,2.55,1.51,2.51,1.51,2.55,1.52,2.37,1.52,2.55,1.5,2.6,,,1.51,1.53,2.52,2.52
2024-339_22,2024-339,22,2024-01-01,Roman Safiullin,Alexei Popyrin,2024-01-03,Brisbane International,2,1.53,2.5,1.53,2.68,1.52,2.49,bixEqIzT,1.52,2.55,1.52,2.5,1.54,2.5,1.5,2.45,1.53,2.5,1.53,2.5,,,1.52,1.52,2.5,2.52
2024-339_23,2024-339,23,2024-01-01,James Duckworth,Yannick Hanfmann,2024-01-03,Brisbane International,2,1.91,1.91,1.93,1.98,1.89,1.88,tOch0qmk,1.93,1.88,1.9,1.88,1.93,1.88,1.85,1.88,1.9,1.9,1.9,1.9,,,1.9,1.91,1.89,1.9
2024-339_24,2024-339,24,2024-01-01,Holger Rune,Alexander Shevchenko,2024-01-03,Brisbane International,2,1.29,3.75,1.33,3.68,1.29,3.53,Wz914Soq,1.3,3.6,1.3,3.45,1.26,3.6,1.25,3.65,1.3,3.6,1.28,3.7,,,1.28,1.29,3.6,3.63
2024-339_25,2024-339,25,2024-01-01,Grigor Dimitrov,Rinky Hijikata,2024-01-05,Brisbane International,2,1.13,6.0,1.13,7.11,1.13,5.88,vaNo5gB0,1.13,6.0,1.13,5.6,1.12,4.75,1.09,6.25,1.14,5.75,1.14,5.75,,,1.12,1.13,5.68,5.9
