slice_degree,slice_definition,is_target_slice,support,support_pct,baseline_accuracy,sliceaware_accuracy,accuracy_delta_vs_baseline,baseline_gap_vs_overall,sliceaware_gap_vs_overall,gap_delta_vs_baseline,baseline_avg_true_winner_probability,sliceaware_avg_true_winner_probability,probability_delta_vs_baseline,delta_direction
2,round=R16 & handedness_matchup=L-vs-R,True,26,0.0441,0.6154,0.7308,0.1154,0.0052,0.1223,0.1171,0.5547,0.5558,0.0011,up
2,round=R128 & handedness_matchup=L-vs-R,True,9,0.0153,0.3333,0.4444,0.1111,-0.2768,-0.164,0.1128,0.4738,0.4891,0.0153,up
2,tourney_level=500 & handedness_matchup=L-vs-R,True,35,0.0593,0.6,0.6857,0.0857,-0.0102,0.0772,0.0874,0.5763,0.5648,-0.0115,up
2,handedness_matchup=L-vs-R & rank_gap_bucket=>100,True,26,0.0441,0.5769,0.6538,0.0769,-0.0332,0.0454,0.0786,0.5948,0.582,-0.0128,up
2,handedness_matchup=L-vs-R & age_gap_bucket=>8,True,25,0.0424,0.64,0.68,0.04,0.0298,0.0715,0.0417,0.5513,0.5495,-0.0018,up
2,handedness_matchup=L-vs-R & form_gap_bucket=0.10-0.25,True,51,0.0864,0.4118,0.451,0.0392,-0.1984,-0.1575,0.0409,0.5025,0.4961,-0.0064,up
2,handedness_matchup=L-vs-R & age_gap_bucket=3-5,True,51,0.0864,0.4902,0.5294,0.0392,-0.12,-0.0791,0.0409,0.5234,0.5228,-0.0006,up
2,handedness_matchup=L-vs-R & rank_gap_bucket=0-10,True,28,0.0475,0.4286,0.4643,0.0357,-0.1816,-0.1442,0.0374,0.5007,0.4979,-0.0028,up
2,handedness_matchup=L-vs-R & age_gap_bucket=6-8,True,32,0.0542,0.4375,0.4688,0.0312,-0.1727,-0.1397,0.0329,0.5067,0.5055,-0.0012,up
2,handedness_matchup=L-vs-R & rank_gap_bucket=26-50,True,32,0.0542,0.5312,0.5625,0.0312,-0.0789,-0.046,0.0329,0.5182,0.5145,-0.0037,up
2,tourney_level=M & handedness_matchup=L-vs-R,True,34,0.0576,0.6176,0.6471,0.0294,0.0075,0.0386,0.0311,0.5631,0.5515,-0.0115,up
2,round=R32 & handedness_matchup=L-vs-R,True,43,0.0729,0.5349,0.5581,0.0233,-0.0753,-0.0503,0.025,0.5485,0.538,-0.0105,up
2,best_of=3 & handedness_matchup=L-vs-R,True,141,0.239,0.5461,0.5674,0.0213,-0.0641,-0.0411,0.023,0.5376,0.5318,-0.0058,up
1,handedness_matchup=L-vs-R,True,151,0.2559,0.5364,0.5563,0.0199,-0.0737,-0.0522,0.0216,0.5316,0.525,-0.0066,up
2,handedness_matchup=L-vs-R & form_gap_bucket=0.00-0.10,True,53,0.0898,0.6226,0.6415,0.0189,0.0125,0.033,0.0206,0.5545,0.5444,-0.01,up
